Depmap ID,Expression Public 24Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000511,5.663344619366085,CALU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000512,3.7897292513757694,INA6,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000513,4.622344722724236,SNU1272,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000514,1.280956313831056,NCIH1092,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000515,0.1505596765753814,HCC33,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000516,4.947198584262056,CAL78,Chondrosarcoma,Bone,Chondrosarcoma
ACH-000517,6.844109421368412,SNU410,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000518,5.67581593117227,CAL33,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000519,4.36387192485753,PEER,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000520,4.877253453876608,59M,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000521,0.3895668117627256,NCIH2030,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000522,1.6461626571578936,UMUC3,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000523,0.137503523749935,NCIH1184,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000524,6.125155131322289,KURAMOCHI,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000525,1.8914191868460783,NCIH2171,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000526,5.988911864954021,HS821T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000527,1.831877241191673,OVISE,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000528,4.166715444966423,ABC1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000529,6.854619083961035,T173,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000530,0.137503523749935,DMS114,SMARCA4-deficient undifferentiated tumor,Lung,SMARCA4-deficient undifferentiated tumor
ACH-000531,5.866907978143166,RS5,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000532,4.657640005207824,SNU61,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000533,0.5945485495503542,NCIH2004RT,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000534,0.4854268271702416,WSUDLCL2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000535,5.191404728852764,BXPC3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000536,4.66732447027863,BT20,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000537,2.017921907997262,SNU761,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000538,0.2509615735332187,HUTU80,Small Bowel Cancer,Bowel,Small Bowel Cancer
ACH-000539,6.103077946597573,HS618T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000540,5.784765696316387,HS606T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000541,4.95093492831454,KMS34,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000542,3.465974464504069,HEYA8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000543,3.71699089440494,SNU489,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000544,3.0250287944915226,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000545,5.784765696316387,VMCUB1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000546,4.685379551959075,HSC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000547,1.5945485495503542,HT1197,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000548,6.192391456913176,BHY,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000549,5.446256229889564,SNU1076,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000550,5.81992359556066,IGR39,Melanoma,Skin,Melanoma
ACH-000551,6.132782457298859,K562,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000552,3.4168397419128294,HT29,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000553,2.9818526532897405,SQ1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000554,1.1634987322828796,UACC893,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000555,4.805808348701467,A498,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000556,5.424586226251101,SIHA,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma
ACH-000557,7.009324775552855,AML193,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000558,6.342163583289351,A172,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000559,1.8875252707415875,NCIH1836,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000560,0.8318772411916731,ECC10,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000561,3.215678596607928,TDOTT,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000562,6.135452784185173,HCC78,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000563,3.442280035252584,EBC1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000564,5.369815424283912,KHM1B,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000565,3.7897292513757694,RCM1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000566,3.414135532984451,SW1710,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000567,2.063502942306158,ST486,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000568,3.382667252745041,UACC812,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000569,3.311793717753649,ISTMES1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000570,2.9411063109464317,YKG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000571,5.397118409042582,T98G,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000572,0.4436066514756145,G361,Melanoma,Skin,Melanoma
ACH-000573,3.513490745588118,MDAMB436,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000574,4.150559676575382,FUOV1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000575,5.289834465177509,HCC364,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000576,0.8559896973084807,KMS27,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000577,4.504620392403552,JHH2,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000578,5.398487190018967,HCC1171,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000579,5.128870759465125,UACC257,Melanoma,Skin,Melanoma
ACH-000580,5.525442506018121,C32,Melanoma,Skin,Melanoma
ACH-000581,0.84799690655495,SNU16,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000582,4.290571850852079,COLO741,Melanoma,Skin,Melanoma
ACH-000583,0.2141248053528473,MC116,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000584,6.371733090622668,JHOS4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000585,2.62760683812965,EPLC272H,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000586,2.405992359675837,NCIH1876,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000587,5.287250643254617,NCIH1975,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000588,2.035623909730721,KMS26,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000589,3.793895882548878,NCIH1437,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000590,5.984817174293587,NCIH2073,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000591,5.039138393906958,LN235,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000592,2.881664619320345,TM31,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000593,5.169123281476757,BC3C,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000594,3.729008870337863,DMS153,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000595,3.4208865749755315,LN229,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000596,5.334139178838237,LCLC97TM1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000597,1.1634987322828796,TTC709,Rhabdoid Cancer,Soft Tissue,Rhabdoid Cancer
ACH-000598,3.521050736900963,KMS21BM,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000599,5.006746832440585,PATU8902,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000600,3.469885976274464,SLR26,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000601,1.9634741239748856,MIAPACA2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000602,7.304876050044889,M07E,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000603,0.2387868595871165,BEN,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000604,6.084489524936252,KYO1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000605,5.216454865144756,TE6,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000606,5.039138393906958,PECAPJ34CLONEC12,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000607,0.2868811477881615,KYM1,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000608,4.49761236561836,COV644,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000609,5.230741002626909,SF126,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000610,2.6848187375532224,NCIH2227,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000611,0.2630344058337938,SUDHL6,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000612,7.491452292037366,HUT102,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000613,3.62760683812965,HOS,Osteosarcoma,Bone,Osteosarcoma
ACH-000614,3.90977310414164,RVH421,Melanoma,Skin,Melanoma
ACH-000615,4.572889668420581,SKMEL28,Melanoma,Skin,Melanoma
ACH-000616,5.646162657157894,HS746T,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000617,6.183288001209558,OVCAR4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000618,2.773996325111173,SNU1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000619,5.3384244147835584,PECAPJ15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000620,2.3757345385831563,JHH1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000621,5.912889336229962,MDAMB157,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000622,2.280956313831056,KNS42,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000623,4.802710219291343,SNU201,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000624,4.18824265626441,HCC1806,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000625,0.2016338611696504,HEP3B217,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000626,3.04788732939655,U266B1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000627,2.3978029618624896,LCLC103H,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000628,6.5869148286651225,NCIH596,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000629,4.615887073916057,IOMMLEE,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-000630,6.100977647724821,YD8,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000631,4.895787316463311,KS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000632,4.95837871156634,HS944T,Melanoma,Skin,Melanoma
ACH-000633,0.8718436485093178,FU97,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000634,4.944858445807539,LN340,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000635,6.017031080527841,SNU119,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000636,6.3466023752989855,RPMI8402,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000637,4.844486087757799,KYSE520,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000638,6.131342539123261,NCIH441,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000639,0.0285691521967709,NCIH211,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000640,6.365972427593384,SKMEL31,Melanoma,Skin,Melanoma
ACH-000641,6.642701571833233,CMK,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000642,6.566358532693305,HMEL,Non-Cancerous,Breast,Non-Cancerous
ACH-000643,5.704871964456353,HDQP1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000644,4.611762560064872,COLO829,Melanoma,Skin,Melanoma
ACH-000645,5.781884234541486,JL1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000646,5.3743439890385005,OVMANA,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000647,3.811471030529836,TE1,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000648,0.5260688116675876,NCIH28,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000649,4.354734239970604,786O,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000650,3.729008870337863,IGR37,Melanoma,Skin,Melanoma
ACH-000651,2.759155833800272,SW620,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000652,5.617944917420585,SUIT2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000653,3.2839217723076173,JJN3,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000654,0.2265085298086797,RAJI,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000655,3.0738202332916718,SF268,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000656,0.4646682670034443,SUDHL8,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000657,0.2509615735332187,A2780,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000659,4.548436624696042,SCLC21H,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000660,0.632268215499513,SUDHL5,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000661,4.434961760187254,WM1799,Melanoma,Skin,Melanoma
ACH-000662,2.526068811667588,CORL23,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000663,3.771885578515366,OVTOKO,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000664,6.478971805032942,SUDHL1,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000665,5.220329954879555,SKMES1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000666,1.5801454844233804,NCIH1355,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000667,3.673556423990145,HCC44,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000668,5.288727679514566,HCC70,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000669,5.636334602442182,SW900,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000670,1.3161457422933562,SBC5,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000671,0.2016338611696504,HUH6,Hepatoblastoma,Liver,Hepatoblastoma
ACH-000672,5.792855352362489,IALM,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000673,3.20006486151431,LN443,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000674,0.722466024471091,NUGC4,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000675,6.497293008662791,NCIH1734,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000676,4.9429835981871015,LN464,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000677,1.5360529002402097,SW1573,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000678,4.227278994468321,MKN7,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000679,0.8559896973084807,OE19,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000680,2.735522177296537,SW948,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000681,0.6870606883398922,A549,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000682,6.236301266827087,SNU1066,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000683,2.992768430768924,SNU503,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000684,4.40735275114004,KMRC1,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000685,5.673839055990439,L33,Adenosquamous Carcinoma of the Pancreas,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000686,5.017031080527841,SNU878,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000687,0.1890338243900171,CI1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000688,4.954661620837898,OV7,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000689,6.4571345943180365,RH18,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000690,3.4475791965488827,HCC2814,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000691,2.0461417816447205,HCC2157,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000692,4.84197311892718,SNU899,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000693,3.0461417816447205,KYSE180,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000694,4.704318677760831,TE9,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000695,1.38404980679516,CORL47,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000696,4.390942772802543,OVCAR8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000697,0.3334237337251918,A3KAW,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000698,1.4541758931858022,DMS53,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000699,5.047014819517589,HCC1395,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000700,4.8894735425311096,NCIH2882,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000701,2.472487771462744,RMUGS,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000702,6.23035674505615,L1236,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000703,3.921245888585589,DMS79,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000704,4.626439136697315,OAW42,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000705,0.6135316529179271,LC1F,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000706,5.216842842837263,EKVX,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000707,0.2265085298086797,P3HR1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000708,3.246408087246385,SNU283,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000709,3.363171077119244,KMRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000710,0.0976107966264223,NCIH854,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000711,3.190614860209497,JIMT1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000712,0.4750848829487829,HCC1833,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000713,4.599912842187128,CAOV3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000714,4.642123916153487,KMS11,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000715,5.3995129241829645,SNU1214,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000716,5.4063325778217095,TT2609C02,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000717,5.990501111363251,COLO680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000718,4.67072705449947,NCIH2291,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000719,1.6644828403646823,RMGI,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000720,4.516645557780962,TCCSUP,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000721,0.1890338243900171,HMC18,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000722,2.851998837112446,SNUC1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000723,4.94673086014031,YD10B,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000724,1.3391373849195856,HT1376,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000725,1.4382928515791469,HCC202,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000726,5.713420884868084,TE14,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000728,2.715893370547605,KASUMI2,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000729,0.632268215499513,NCIH1963,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000730,1.2448870591235344,SKMEL5,Melanoma,Skin,Melanoma
ACH-000731,6.12267271882414,HCC2279,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000732,4.000901402741532,PECAPJ41CLONED2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000733,4.2712762591759255,NCIH1838,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000734,0.6507645591169022,JHH5,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000735,4.176322772640463,PECAPJ49,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000736,4.4202128906107845,SNU601,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000737,1.0908534304511135,NCIH1385,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000738,4.725741156503952,GB1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000739,1.5210507369009632,HEPG2,Hepatoblastoma,Liver,Hepatoblastoma
ACH-000740,5.277240898332067,A253,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000741,2.4462562298895643,UBLC1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000742,6.30213623462205,DM3,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000743,5.6464507064831775,CORL95,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000744,1.0565835283663676,NCIH1623,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000745,7.880073253876945,MOLP8,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000746,0.1110313123887439,GSS,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000747,3.035623909730721,NCIH1703,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000748,6.120808102298621,SJSA1,Osteosarcoma,Bone,Osteosarcoma
ACH-000749,4.617651119427331,DMS273,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000750,4.853995647176393,LOXIMVI,Melanoma,Skin,Melanoma
ACH-000751,6.265849421440848,OCIM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000752,4.987775616142913,NCIH196,SMARCA4-deficient undifferentiated tumor,Lung,SMARCA4-deficient undifferentiated tumor
ACH-000753,2.111031312388744,JMSU1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000754,4.544114402209474,L428,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000755,2.657640005207824,HCC2218,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000756,3.2809563138310565,GI1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000757,1.1176950426697545,A427,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
